class,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1,15631,8280,4786,4786,3718,1557,937,761
1,15959,10609,4072,4072,3126,3327,1411,611
1,848237,44413,12128,12128,5057,1461,1971,1812
1,26755,104736,23806,23806,15440,4661,5580,8289
1,301550,159043,42474,42474,12189,1995,5169,4653
1,13306,5547,5137,5137,3613,3396,743,743
1,24181,42939,1941,1941,3164,3398,498,647
1,1603,2427,1931,1931,1499,4249,629,393
1,2547,3365,1560,1560,3810,2175,782,694
1,12965,8208,100,100,3470,2967,765,611
1,2352,2914,2557,2557,2015,1383,541,471
1,3677,2545,8723,8723,6093,4218,668,1029
1,1475593,313330,91893,91893,12764,5167,4280,4318
1,89074,43736,40640,40640,9723,14371,5460,8248
1,65456,33298,32280,32280,7874,1563,1424,654
1,2291634,98225,3021,3021,9167,7713,1388,902
1,17724,17714,454,454,2054,4458,1076,455
1,10414,12308,9328,9328,5421,1950,809,1127
1,1452,7292,10007,10007,4234,1804,707,521
1,3728,3164,9379,9379,2309,1770,698,430
1,259856,117367,4813,4813,6834,12922,4082,1693
1,3494,8244,632,632,1014,2562,376,376
1,3248,4177,2952,2952,3941,1370,501,400
1,1650,1138,1111,1111,1691,4100,696,689
1,2578,4803,2835,2835,3248,1766,880,992
1,2470,2889,8128,8128,3795,1582,267,231
1,2593,1892,12588,12588,9132,3695,588,333
1,11678,3901,5066,5066,2628,2727,670,471
1,3190,4020,1317,1317,1095,1299,859,329
1,4374,1680,4266,4266,2777,2359,282,486
1,45833,24946,1836,1836,2934,2683,1040,880
1,15889,6163,1191,1191,3794,3023,541,458
1,2555,10480,4401,4401,2142,1766,883,367
1,1566,8167,14287,14287,3325,2697,1238,368
1,2876,17770,3144,3144,6664,3801,385,361
1,1229,11475,3320,3320,7011,2143,1047,277
1,2977,7913,948,948,1864,1572,951,328
1,812823,191310,4602,4602,16083,9682,5233,1845
1,4112,7827,12394,12394,2832,3314,300,436
1,585955,98931,15628,15628,13332,5637,4799,1646
1,34046,52148,2786,2786,4776,2413,763,565
1,2027,4017,1114,1114,2234,2235,928,184
1,3278,13685,22017,22017,4084,4681,901,499
1,1873,7642,6293,6293,3225,3320,591,764
1,66550,30031,5657,5657,3392,1170,909,223
1,663206,40811,6447,6447,17657,7937,2136,669
1,39679,3070,7668,7668,3436,3453,408,530
1,12919,12691,3338,3338,5842,1542,842,1080
1,430783,82052,21727,21727,24882,3377,2144,1371
1,156747,75450,1692,1692,5537,4426,3392,1510
1,552977,13098,16420,16420,3286,4751,3609,4213
1,1701716,13506,13155,13155,6485,6767,2698,5414
1,8106,5655,17435,17435,783,2587,1021,1031
1,6800,5611,3431,3431,6385,5856,945,321
1,14305,8417,2125,2125,4563,2283,2005,840
1,11442,9754,9750,9750,7693,2905,497,347
1,1701,11611,3598,3598,3824,2163,620,301
1,89409,23737,427,427,2993,2300,601,518
1,309,7622,9007,9007,1434,1939,606,561
1,2945,6431,4341,4341,2607,3243,947,997
1,3081,9099,1778,1778,3007,1490,739,800
1,4750,6771,18789,18789,4609,2291,377,358
1,6753,3819,384,384,3203,1828,709,366
1,1954,1027,3073,3073,2598,1512,534,634
1,4826,2796,517,517,5645,1993,417,766
1,4863,5742,24285,24285,3840,2851,538,803
1,2900,21577,2577,2577,3348,6965,386,945
1,7501,9285,4204,4204,4538,5445,124,396
1,8498,3809,2992,2992,4001,2101,780,708
1,5188,6979,343,343,3093,2128,408,410
1,2197,3350,1768,1768,1724,1861,338,282
1,7301,5162,2157,2157,5508,1484,809,659
1,107084,10885,4031,4031,3368,1076,775,763
1,1631,1832,2084,2084,2340,2149,606,399
1,3757,3676,5380,5380,4111,2828,698,565
1,1747,7332,1645,1645,1808,2369,954,934
1,5033,3745,4515,4515,4865,5206,883,422
1,5846,5780,1684,1684,2327,1193,343,330
1,3520,4901,7366,7366,3372,1333,400,541
1,278306,44514,37325,37325,44348,18933,4809,9302
1,1436378,275102,35457,35457,15936,14794,5809,1558
1,11895,7149,4919,4919,5386,2494,879,294
1,3652,8528,6951,6951,3796,1632,290,505
1,3341,22380,6796,6796,3429,2624,649,348
1,3284,7698,5431,5431,3804,3249,504,755
1,5735,3999,3762,3762,6979,2274,869,325
1,4047,9561,5736,5736,843,1468,693,498
1,4497,6831,4540,4540,1846,2397,479,469
1,6825,3930,4393,4393,2151,5358,665,265
1,12619,4536,1059,1059,4484,1979,667,465
1,97413,9314,346,346,574,208,56,28
1,2670,5757,5757,5757,4506,2118,310,755
1,5268,13103,4478,4478,3057,3664,865,659
1,6124,7791,14884,14884,9620,3803,236,675
1,11171,5226,259,259,6702,3662,220,312
1,4529,18595,10172,10172,3520,1366,1000,783
1,15307,11417,1260,1260,4218,2592,1125,1016
1,24430,3917,926,926,3088,2129,421,324
1,7929,8560,1451,1451,5956,2105,639,493
1,2469,8271,10277,10277,8385,4319,358,343
1,11670,9488,10705,10705,2793,2166,839,1074
1,24296,15146,7256,7256,2623,2338,653,818
1,8118,5153,3305,3305,5237,5233,1138,1013
1,7535,11845,7705,7705,5720,1527,772,434
1,12006,40396,4267,4267,2854,4083,769,816
1,133123,78966,12046,12046,6204,5339,752,1445
1,7046,12257,11618,11618,2676,3501,476,484
1,8905,5596,6968,6968,2894,3748,905,408
1,180037,146207,17371,17371,7611,7595,4670,1976
1,165211,7144,1859,1859,1625,757,483,288
1,36526,7174,3085,3085,7649,3898,692,886
1,5917,4364,3525,3525,14728,3229,684,1603
1,6933,4573,3398,3398,2340,3672,897,466
1,17399,14602,14773,14773,5129,2742,588,298
1,10522,9557,5679,5679,5159,1759,466,656
1,93670,58989,8348,8348,11422,4414,701,836
1,8226,8668,550,550,1928,2223,267,493
1,26852,15651,6743,6743,1337,3158,780,1449
1,188287,12901,1601,1601,1765,354,195,176
1,1053,7316,3016,3016,2940,4840,945,574
1,37591,86412,10476,10476,3806,1530,481,788
1,10641,4694,2013,2013,2511,1717,426,401
1,7131,17266,7246,7246,4694,1651,536,306
1,14094,6130,4612,4612,832,1891,455,420
1,4214,4470,1077,1077,3155,2378,963,589
1,27152,12306,132,132,2023,1579,562,902
1,1441,3732,3093,3093,1396,2374,654,1075
1,260320,31280,9631,9631,6701,15940,3381,7499
1,39655,6113,314,314,1446,684,160,154
1,54652,28767,7455,7455,3665,3888,862,356
1,3896,4434,3029,3029,4851,4482,325,257
1,4763,5385,5601,5601,3549,1363,929,1444
1,5179,2974,10932,10932,2665,8644,478,348
1,6220,8079,21274,21274,7256,1392,811,803
1,2404,13828,6299,6299,796,1519,381,322
1,3716,14201,10324,10324,7600,2900,651,413
1,45828,19414,3998,3998,3070,3816,907,676
1,3330,15859,4234,4234,3613,2293,519,866
1,9494,17855,2873,2873,3509,1126,376,625
1,1546,8476,4388,4388,2131,3145,623,700
1,111032,7805,2579,2579,5283,2980,400,543
1,15631,8280,4786,4786,3718,1557,937,761
1,15959,10609,4072,4072,3126,3327,1411,611
1,848237,44413,12128,12128,5057,1461,1971,1812
1,26755,104736,23806,23806,15440,4661,5580,8289
1,1357950,634995,130711,130711,214675,54356,31110,34389
1,340882,17161,1216,1216,6456,3549,861,341
1,80580,37409,5346,5346,8134,3631,1239,1006
1,63945,15167,5490,5490,2466,1581,661,618
1,328165,29018,5124,5124,3893,2453,607,451
1,24334,6591,10286,10286,4574,3805,788,1215
1,171477,32762,2481,2481,2186,3463,1172,1054
1,1068,2095,8936,8936,4454,2452,889,1155
1,11885,17263,2254,2254,7351,2424,456,916
1,54295,58109,8237,8237,3247,1175,910,373
1,101673,28237,6492,6492,7969,2792,871,1010
1,846344,72325,2079,2079,2615,1911,813,326
1,85972,68026,7209,7209,12558,4103,624,750
1,2684533,137695,63613,63613,49657,10436,4655,3769
1,24490,17616,1089,1089,3512,1759,1328,753
1,4380,1946,2955,2955,2396,2868,565,493
1,3025,1832,5521,5521,1997,1927,322,563
1,3617,9424,5356,5356,5827,3658,662,709
1,153308,44416,10778,10778,3923,2248,767,982
1,31307,1738,767,767,3216,2308,663,692
1,25213,3282,5050,5050,4721,2143,801,1166
1,22867,5182,5497,5497,4641,3839,672,405
1,7848,5308,9003,9003,3750,2333,882,998
1,179027,29589,7417,7417,1020,810,542,362
1,2164,5639,3389,3389,2259,2562,619,688
1,21566,75360,8139,8139,3641,3236,791,760
1,17291,2142,1450,1450,3547,1940,379,452
1,1202,4977,822,822,2492,1070,1467,603
1,13695,4021,5739,5739,3738,1866,1307,580
1,9215,12764,1196,1196,1730,2034,246,532
1,147328,83181,4075,4075,4895,4147,1999,713
1,15249,8602,3845,3845,4255,3638,751,1097
1,3736,5599,2703,2703,2351,2213,560,863
1,16526,4363,3684,3684,1583,3037,1447,356
1,100972,17751,937,937,4723,1205,2199,756
1,9269,1776,8274,8274,3268,4379,1003,381
1,14513,4139,1293,1293,5410,2758,756,521
1,205755,22946,18464,18464,18800,14908,4576,2183
1,33414,5199,1259,1259,5922,3285,1997,373
1,431018,101789,8603,8603,2363,3943,1318,1106
1,65013,7720,5282,5282,5950,4269,1791,3377
1,73407,7486,5482,5482,880,725,395,255
1,80295,15454,17013,17013,14941,6554,2679,4615
1,2849,19345,2796,2796,6065,1126,1210,935
1,29828,5509,7632,7632,5461,3310,1028,710
1,5910,4442,3007,3007,4548,1648,950,1060
1,199023,30548,7949,7949,12531,3554,1150,1176
1,15673,22219,5270,5270,1742,5204,1405,753
1,325119,105793,34130,34130,46439,17973,2907,3934
1,1337025,58535,40301,40301,33308,25221,15198,3772
1,2356899,260098,34188,34188,32694,38157,2439,2384
1,36153,9726,24885,24885,6538,1467,686,1367
1,1458911,134163,17564,17564,39241,12803,2680,3887
1,881510,26781,1678,1678,8235,4050,1072,804
1,167657,30863,6794,6794,5791,12496,2559,4286
1,4996,9490,11741,11741,7783,5397,642,1230
1,44704,8494,2570,2570,1047,1189,335,129
1,28168,23409,12957,12957,6964,2384,727,521
1,119185,67977,17891,17891,12579,11016,1531,10086
1,7749,18428,2410,2410,4649,4430,858,691
1,597538,76302,28742,28742,20533,10409,3157,1633
1,831939,28168,6498,6498,9301,2772,1206,2282
1,235665,5574,1597,1597,2191,1744,362,256
1,5135,1116,3499,3499,1921,6528,648,825
1,2836,14361,3852,3852,4501,1156,1163,762
1,58779,39671,9730,9730,4519,6095,1480,545
1,10725,2251,2335,2335,1761,1939,922,668
1,5268,11524,4222,4222,5082,1590,2030,724
1,62234,6507,6337,6337,6897,4226,829,547
1,172224,16133,5058,5058,4123,1845,637,930
1,36561,11019,6681,6681,2535,2506,624,1001
1,11947,11394,2652,2652,3381,836,537,641
1,52876,15410,240,240,797,412,644,179
1,5630,8188,874,874,3374,2952,1098,458
1,89546,24506,2849,2849,3453,2149,1129,1273
1,61551,25958,3053,3053,9884,8771,2437,2488
1,11818,19444,5282,5282,3116,2921,533,1372
1,65160,10755,7105,7105,4533,3471,1179,1579
1,4952,12819,6725,6725,2405,964,726,1147
1,246242,39961,15310,15310,6638,3528,946,1378
1,491688,41958,15316,15316,32369,19609,4254,6336
1,23599,8300,3447,3447,2557,1763,793,1181
1,231702,30485,7885,7885,3920,6461,984,1056
1,7003,5043,3941,3941,2497,2302,607,431
1,17252,8244,4745,4745,3291,3589,2159,551
1,48633,21131,1693,1693,1920,492,228,413
1,53526,11054,15229,15229,2729,4098,798,1607
1,66287,87949,27342,27342,17039,4566,6049,5644
1,450074,61665,29229,29229,14657,7110,2987,2236
1,9272,27592,5478,5478,4063,1679,461,527
1,25524,20903,4602,4602,8781,2301,1301,1381
1,977051,175585,20481,20481,17244,8740,4381,2386
1,35970,11692,2218,2218,4884,4168,796,503
1,107683,61458,6670,6670,4790,4255,1570,768
1,74145,64021,1692,1692,5774,5186,1787,1507
1,1563,3629,2087,2087,3592,2146,1067,330
1,42129,30333,13861,13861,4376,2186,1517,321
1,35176,7845,5240,5240,7207,4119,418,1922
1,485332,22801,40822,40822,35974,13707,4369,2281
1,123926,21086,5079,5079,4366,3862,807,733
1,28800,34323,3963,3963,7527,3221,856,1339
1,499034,41013,7964,7964,3657,1139,1159,489
1,98263,88726,16686,16686,20413,14966,3037,3611
1,460667,43993,8054,8054,3148,5138,839,452
1,44697,5782,3338,3338,7286,3527,936,2003
1,1125455,275393,55271,55271,236834,124899,153525,95934
1,237126,13885,2022,2022,478,540,285,188
1,26797,123531,32245,32245,24981,13682,3676,6578
1,7225,12854,4664,4664,2721,4514,1212,1421
1,513876,67717,6069,6069,5713,26993,1009,1049
1,842838,198966,59777,59777,24985,28756,8198,4852
1,10569,10246,3712,3712,3550,3162,439,2143
1,5410,6119,9334,9334,2159,2009,723,893
1,53878,34870,12446,12446,6552,4552,688,1453
1,1605940,184017,41023,41023,4103,10762,3387,5397
1,63691,11787,8264,8264,8886,3113,1505,1263
1,419640,30386,29546,29546,32998,11855,2932,2441
1,134655,2970,1221,1221,2858,2118,1235,1930
1,52630,36831,7079,7079,4667,3560,907,385
1,3279,28811,2381,2381,3655,1448,1037,572
1,91039,27079,15519,15519,9945,1513,1052,1686
1,232926,77423,10419,10419,4156,2694,4776,5162
1,4738,10385,1064,1064,930,2616,855,258
1,230001,16348,8537,8537,7333,2347,1862,2211
1,45959,6948,1297,1297,3021,2285,1029,725
1,49335,67573,37016,37016,26139,21607,3034,6719
1,34767,1642,10749,10749,6904,2632,762,1125
1,11126,8236,1287,1287,7575,3781,658,1390
1,3574,3948,3789,3789,2687,1469,1119,607
1,574296,68988,1946,1946,1579,3545,1116,1233
1,269036,30123,4483,4483,3155,3614,239,1215
1,2908,3630,1017,1017,3681,3856,813,1618
1,7335,5104,4125,4125,5273,2319,641,1182
1,11232,1824,2137,2137,2098,758,1359,731
1,4975,6355,8491,8491,4607,3528,492,934
1,7655,5026,2699,2699,5769,2837,881,987
1,83279,28001,1257,1257,3831,1641,841,1190
1,3689,3657,2911,2911,4844,2636,841,1098
1,4036,6036,1986,1986,3866,1590,1002,664
1,822188,216575,24800,24800,13242,17339,3122,3029
1,719073,63419,19799,19799,14696,7885,2630,1614
1,4067,5831,1824,1824,2867,1153,435,606
1,923693,45595,14942,14942,9744,8886,1642,1614
1,10381,3631,2114,2114,1612,1021,1302,1194
1,9161,15541,1790,1790,2588,1158,1235,579
1,3717,2715,3995,3995,7072,2466,707,1570
1,2489014,288297,164035,164035,39917,21443,7530,7776
1,70166,41286,994,994,3639,4412,1842,1944
1,175403,33786,9598,9598,16219,8129,1806,824
1,34195,5532,3936,3936,2482,3593,1210,742
1,15261,10776,8188,8188,6804,1193,565,900
1,6238,1580,16059,16059,2641,1709,947,3226
1,20557,6572,9834,9834,5678,2057,747,1305
1,9415,3534,7738,7738,6987,1174,899,661
1,1492,3322,3359,3359,1993,2600,447,1536
1,33252,12323,12474,12474,2218,3353,932,836
1,6259,2584,1681,1681,2591,2536,750,392
1,5062,3241,1986,1986,1934,3356,1046,678
1,407457,63359,13513,13513,2868,2157,1038,2317
1,61653,15410,4303,4303,1892,924,208,316
1,4121,9182,623,623,5411,1654,593,696
1,216908,14560,3633,3633,1808,3276,782,902
1,66663,37840,6903,6903,6238,4381,1795,1686
1,17927,7492,871,871,6688,4401,1780,1087
1,21881,25716,3882,3882,2425,567,500,944
1,133433,58898,7606,7606,4880,2671,838,1020
1,9460,3273,3455,3455,5278,2584,841,385
1,64067,34743,4872,4872,1142,1665,904,2121
1,30057,11473,175,175,4373,2470,888,2177
1,1133998,539378,306923,306923,143285,161492,155277,92835
1,303592,94580,127152,127152,15393,16541,14765,4287
1,767768,59206,37256,37256,18209,16028,8052,5534
1,40473,66093,7064,7064,1640,842,669,670
1,4572,5161,10119,10119,2807,2225,1606,1312
1,7946,7586,3510,3510,2250,1396,1117,921
1,185455,60907,20972,20972,3466,6850,646,1011
1,32806,21170,3114,3114,15083,4653,1512,376
1,92750,13757,3665,3665,946,3373,630,489
1,11248,2061,4700,4700,3519,3432,2634,3541
1,12674,8793,5246,5246,1328,2988,1835,3096
1,518226,77232,46874,46874,9591,16521,2405,4000
1,240467,35503,5392,5392,5626,3411,2007,1613
1,515628,42417,29917,29917,12716,11910,10512,10831
1,53708,20265,3379,3379,2840,7773,3521,1372
1,87491,16134,6744,6744,4478,2918,2178,1125
1,16907,18495,1233,1233,2265,1529,1571,745
1,17100,9986,1631,1631,3938,4065,1275,1365
1,26635,34583,2772,2772,3065,1892,1286,1459
1,192654,67979,7678,7678,4008,2194,2098,1833
1,103535,22432,6354,6354,1847,1260,508,348
1,16669,6266,2477,2477,4202,4060,1850,828
1,7090,17771,1052,1052,7291,4143,799,901
1,48317,43303,5080,5080,2233,3720,719,1308
1,2311,22190,18915,18915,1350,2409,758,624
1,106629,103990,29686,29686,16219,10915,1368,5059
1,1229,5088,1600,1600,2257,2236,542,793
1,12249,9131,5556,5556,2124,1618,905,624
1,3427,1268,3186,3186,2318,1269,1490,582
1,14599,7669,2004,2004,1672,1922,486,1199
1,76057,113224,77569,77569,78291,60212,19066,30352
1,134173,13627,9254,9254,5168,4143,3557,3708
1,166937,60848,5460,5460,9846,4377,1130,1293
1,15867,7681,6105,6105,4957,4788,1486,510
1,76572,43812,8792,8792,3360,3202,774,1067
1,32493,24434,9247,9247,10345,4457,1093,987
1,12631,27438,12113,12113,2607,2401,278,1104
1,14342,9543,3505,3505,5438,2875,812,692
1,99532,52055,7731,7731,5572,3799,560,918
1,7445,18444,8860,8860,7125,4785,5865,1827
1,254938,118460,2475,2475,2507,3592,778,1082
1,4347,2783,5180,5180,3378,4549,762,1083
1,3155,1348,5767,5767,3091,7088,735,3805
1,63050,11981,7131,7131,6420,3087,1836,1030
1,163569,82781,18912,18912,2724,5897,518,1749
1,12061,4508,8017,8017,3618,1779,268,451
1,4348,7434,6196,6196,1661,2427,813,948
1,24047,8656,12194,12194,3488,2302,1055,2835
1,6071,6530,1969,1969,3846,3808,732,689
1,2097,1215,11670,11670,2177,2281,499,1838
1,1680,5740,2747,2747,1810,2401,660,991
1,9454,4526,3710,3710,5821,2749,974,2128
1,9232,6408,11537,11537,2795,1716,613,1636
1,166652,52826,8163,8163,13159,11524,2353,1667
1,10741,7063,1298,1298,7999,3419,551,1301
1,17732,9175,3813,3813,3278,3117,824,707
1,6951,6897,11994,11994,7428,1091,1179,431
1,20139,2109,616,616,3327,1749,906,745
1,4002,4432,4036,4036,4709,3716,899,1529
1,3760,7143,3842,3842,4134,3240,667,561
1,19935,4324,5871,5871,3124,1612,874,1335
1,157856,74355,11953,11953,8973,8759,5134,3680
1,38539,58391,12124,12124,5317,3903,1462,1525
1,251683,80330,9269,9269,20622,8193,2811,3058
1,12177,19378,1345,1345,4104,2601,532,534
1,443065,77001,68855,68855,4689,5842,4490,3748
1,3065,3187,1004,1004,2162,2111,810,966
1,84709,15761,4627,4627,889,2505,1438,909
1,1543,2577,7278,7278,6130,3578,708,1102
1,2949,7895,4692,4692,4694,1254,689,2120
1,487872,148322,47639,47639,17478,4236,3321,3025
1,30676,17501,5573,5573,850,4811,1296,735
1,29619,44738,7311,7311,4318,4235,461,748
1,13692,12093,994,994,2979,1281,1322,939
1,8519,9048,7752,7752,2765,2045,983,794
1,2657,4760,3086,3086,4651,2389,1317,456
1,38371,11190,10338,10338,4870,9912,784,1284
1,11432,4966,530,530,5265,3698,1026,450
1,5276,6249,2633,2633,6690,1690,851,1282
1,47801,26774,11477,11477,3486,3171,773,1170
1,59059,31468,9011,9011,3048,5631,499,2016
1,44004,8477,1655,1655,3092,3045,521,1156
1,3916,3889,14,14,5186,1779,398,1172
1,20459,3984,6338,6338,2983,3994,693,1004
1,7830,741,1650,1650,3671,2339,1420,1905
1,2583,4341,5843,5843,2906,1829,255,306
1,2565,1108,1533,1533,4160,3265,1639,1251
1,3363,4662,4813,4813,4194,2485,646,1788
1,50334,3343,5866,5866,3375,4576,821,943
1,8269,3976,5348,5348,2312,3505,497,1356
1,2907,3723,7778,7778,3012,4921,503,1127
1,7573,8552,2238,2238,4053,1182,801,1044
1,432995,29185,2202,2202,5985,3222,714,1200
1,11411,5009,8794,8794,4266,1845,2249,1108
1,88418,22511,5910,5910,8095,2555,843,1023
1,4991,1139,5476,5476,1716,1626,475,633
1,13739,8640,878,878,4988,1026,887,793
1,62765,24987,331,331,3731,3602,640,426
1,3037,2424,3417,3417,2050,1020,910,979
1,6043,1400,2296,2296,1866,2423,652,1011
1,2841,2754,1071,1071,2060,1110,799,1157
1,522006,72465,21079,21079,10788,15051,5773,7486
1,60382,6873,3140,3140,126,1042,116,274
1,1010,5721,3405,3405,2262,1727,477,653
1,10258,8816,3074,3074,5569,1747,480,1425
1,45597,10329,6095,6095,5545,4152,1461,1915
1,4203,5176,5103,5103,6155,1714,736,1369
1,5381,6907,5045,5045,5395,6401,778,838
1,7286,1999,1425,1425,1946,1017,622,736
1,7817,10330,11888,11888,5586,2234,875,1074
1,57126,7940,1006,1006,1057,1000,171,239
1,1784,9313,11444,11444,2196,1659,1395,911
1,4512,4695,5619,5619,3447,1372,563,931
1,2349,2673,3628,3628,4110,2367,913,713
1,2813,4607,11172,11172,4726,3214,715,1146
1,38050,2437,10479,10479,2767,2614,1316,990
1,5450,2553,5051,5051,4466,1925,408,651
1,1525,4663,5204,5204,1902,1321,1085,1260
1,124705,19479,855,855,3139,3415,1259,1538
1,1660,1891,4974,4974,9763,1018,1866,462
1,2272,1537,17653,17653,4149,4560,261,497
1,157659,13564,295,295,1729,492,234,128
1,51957,72120,9719,9719,1360,2558,4957,2395
1,34957,28689,6132,6132,1016,2169,905,1081
1,43384,13084,823,823,4745,2788,1994,883
1,5507,7347,11036,11036,5836,3882,369,981
1,87095,8380,2101,2101,2334,1919,105,312
1,7016,7052,2257,2257,2712,2709,724,1128
1,7555,21141,4420,4420,4006,3707,1647,772
1,5093,10476,6419,6419,4266,3498,383,1688
1,59253,7031,2872,2872,833,661,397,187
1,19644,5661,2843,2843,5171,3797,1043,1363
1,5499,8072,4988,4988,6061,2664,1001,885
1,1638,2384,5473,5473,1404,1868,519,1443
2,88807,101689,24306,24306,7387,5466,2356,2030
2,1123523,189979,139304,139304,47656,12796,32662,17782
2,74531,32688,3855,3855,1897,1846,4513,3335
2,1106571,438199,24359,24359,37240,34767,12210,12930
2,1754150,307597,171067,171067,82425,80337,98127,22100
2,1203833,212273,28271,28271,14365,56357,21193,30202
2,2044716,302022,10762,10762,100030,44403,17073,24144
2,22232,39078,7855,7855,4567,15908,8821,5689
2,1821566,62447,1022,1022,18377,14497,11683,15600
2,1506110,196370,45461,45461,12283,9471,21864,5741
2,617370,53703,10609,10609,12186,17056,25358,11303
2,121804,58766,1407,1407,1955,9652,2616,3563
2,2262316,73602,55009,55009,30190,24131,5301,6883
2,27236,3724,29122,29122,4045,5274,9377,2747
2,294930,43608,29303,29303,17012,22396,11894,13690
2,40890,10650,26800,26800,4187,31383,8681,12347
2,387098,55254,11803,11803,11875,14340,6593,14543
2,491296,103101,22236,22236,16743,6434,7792,19320
2,63857,29972,4193,4193,6873,5421,1768,1335
2,178475,56537,21272,21272,10434,13291,9668,6436
2,332797,33238,2926,2926,3623,21764,10512,4306
2,400469,63595,8269,8269,5548,5653,7350,4010
2,156921,73780,41317,41317,7880,21920,16179,18971
2,348026,98898,53738,53738,24357,43855,18987,8797
2,478929,93023,140258,140258,18522,23951,17016,8905
2,104645,29251,4795,4795,12042,8098,3969,3368
2,243905,92627,16342,16342,9210,27308,9341,17816
2,12065,22840,3581,3581,5032,3146,3636,3420
2,18156,11217,1129,1129,10190,5023,1841,1791
2,116873,64052,2751,2751,3023,1629,1625,1728
2,177076,37691,8738,8738,4101,1383,895,2156
2,1290088,315501,42024,42024,27405,20864,5692,20075
2,177935,61157,618,618,29539,28315,8935,8540
2,25873,12839,2587,2587,4335,4971,1848,1961
2,104255,1270,3460,3460,781,1017,723,911
2,330193,71251,8512,8512,13434,1884,1450,2198
2,115296,30576,2932,2932,5413,2689,1042,3891
2,91366,13266,6333,6333,2761,2900,566,1273
2,77287,9917,5739,5739,1334,2269,820,2150
2,166366,51146,2379,2379,3260,4670,1137,1087
2,1085718,59000,25311,25311,12283,14258,6140,7085
2,277643,73003,38679,38679,13020,8998,5616,12591
2,48951,8450,13045,13045,7000,4675,1769,1780
2,31064,5502,9963,9963,6175,2533,776,2982
2,67165,16306,2815,2815,4355,2270,1050,1572
2,50529,9972,3800,3800,4147,2747,587,2408
2,52532,24527,1267,1267,3300,4495,682,2232
2,26139,6271,1477,1477,4651,2972,889,4209
2,21447,10734,4656,4656,4765,3165,461,966
2,36177,3198,7553,7553,2218,2959,665,1598
2,22947,9727,3622,3622,5552,2036,728,2315
2,18105,18150,2295,2295,1755,1841,1118,1075
2,116802,55885,6493,6493,4791,2558,1406,2957
2,1799024,401050,34700,34700,24937,28371,33524,31848
2,166335,8393,3525,3525,2402,1722,2075,1094
2,266765,48943,11811,11811,18049,17994,27223,9199
2,316142,10685,11524,11524,11060,25744,5515,7944
2,648167,48275,8385,8385,19775,19086,4931,10044
2,5100,18304,4214,4214,6036,3018,1055,1987
2,4029,10964,4142,4142,5162,2913,1374,1627
2,19481,10477,2443,2443,3153,1809,1018,682
2,688933,68746,18907,18907,39978,10090,3021,4880
2,1069684,36381,8516,8516,10886,7743,4530,3234
2,38757,13120,2566,2566,3881,2389,1702,1596
2,36982,16891,6947,6947,6509,4099,1076,1025
2,638565,76111,3855,3855,3414,3358,1365,579
2,87492,2346,382,382,1492,343,205,259
2,5574,4423,3804,3804,2227,7489,423,982
2,2708,3041,2833,2833,1517,3421,413,1860
2,7206,2562,1765,1765,1743,2401,239,394
2,17074,10963,3270,3270,2110,3584,395,381
2,46455,26006,882,882,2232,1641,524,1089
2,14101,11605,2662,2662,1316,2294,613,422
2,283208,87649,5211,5211,23112,8897,3660,3550
2,7330,4701,478,478,2345,1467,385,374
2,90147,58225,2299,2299,5691,2575,350,1386
2,71523,15053,8940,8940,17371,4974,2110,4074
2,191910,35757,5203,5203,3704,2786,2745,2169
2,252819,37335,10034,10034,5651,7674,3300,4461
2,26218,9805,708,708,1111,1166,1081,4183
2,20313,3699,5987,5987,1815,2558,527,2611
2,84727,83427,4317,4317,23850,5821,2752,8277
2,3687,7324,6358,6358,1024,2268,665,4164
2,961274,55666,33556,33556,7239,11683,8662,5131
2,105680,11209,7627,7627,947,595,304,881
2,130655,5223,2085,2085,3855,3400,937,3490
2,932035,20129,17750,17750,17279,23980,5898,5404
2,367544,79238,3495,3495,4133,3759,1280,2341
2,273323,63411,3007,3007,5961,3467,1460,1385
2,137650,116605,34097,34097,22950,26640,3406,7192
2,179806,25492,11970,11970,7054,2731,1111,4884
2,84301,46651,18481,18481,2724,3929,2461,3164
2,104685,1843,881,881,296,279,186,1147
2,32845,4850,3434,3434,2419,1919,449,9248
2,493833,35581,71463,71463,56926,18434,1846,40540
2,23971,13262,1332,1332,4160,2852,568,5112
2,1133609,49692,3590,3590,5475,6358,1306,2394
2,7188,3952,1617,1617,3680,2489,755,9159
2,286257,17851,4390,4390,3625,3370,1680,5410
2,33388,6503,7562,7562,4231,3310,842,3959
2,805003,180000,99434,99434,23727,10220,20494,19937
2,1016753,197180,80021,80021,12676,25838,26945,21352
2,251021,36995,3596,3596,2655,3455,547,676
2,3356,1061,5041,5041,4656,2516,1078,886
2,5575,6593,2169,2169,3468,1217,677,1322
2,88138,17483,6764,6764,2393,4067,718,734
2,4777,9688,10973,10973,834,1230,520,571
2,3207,7887,6435,6435,3475,6517,1172,656
2,625051,107430,38445,38445,4879,4906,1140,2823
2,30845,17485,5052,5052,1682,2417,811,560
2,5461,1018,1640,1640,1359,886,532,457
2,4113,7312,591,591,3027,912,584,277
2,4781,7456,2800,2800,2659,1213,616,761
2,6243,7077,432,432,5541,2196,1058,345
2,6246,12191,14792,14792,4759,2526,449,551
